name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,prediction
Hyundai Grand i10 CRDi SportZ Edition,2014,375000,76000,Diesel,Individual,Manual,Third Owner,24.0,1120.0,70.0,159.8Nm@ 1500-2750rpm,5.0,352691.4842706695
Maruti Wagon R LXI CNG,2017,400000,110000,CNG,Individual,Manual,First Owner,19.33,998.0,58.16,77Nm@ 3500rpm,5.0,330530.4655838758
Mahindra Bolero 2011-2019 ZLX,2012,450000,135000,Diesel,Individual,Manual,First Owner,15.96,2523.0,62.1,195Nm@ 1400-2200rpm,7.0,286639.94402705133
Skoda Fabia 1.2L Diesel Elegance,2011,325000,160000,Diesel,Individual,Manual,Third Owner,20.86,1199.0,75.0,180Nm@ 2000rpm,5.0,235372.6760880947
Hyundai i10 Sportz,2010,210000,94000,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,111.8Nm@ 4000rpm,5.0,198819.13565154374
Maruti Eeco 7 Seater Standard BSIV,2019,359000,5500,Petrol,Individual,Manual,First Owner,15.37,1196.0,73.0,101Nm@ 3000rpm,7.0,516033.69772040844
Honda Amaze S Petrol BSIV,2019,670000,5000,Petrol,Individual,Manual,First Owner,19.5,1199.0,88.76,110Nm@ 4800rpm,5.0,678011.6694708392
Hyundai EON D Lite Plus,2014,180000,62000,Petrol,Individual,Manual,First Owner,21.1,814.0,55.2,74.5Nm@ 4000rpm,5.0,176634.48678833246
Hyundai i20 1.2 Asta,2010,254999,80000,Petrol,Individual,Manual,Fourth & Above Owner,17.0,1197.0,80.0,"11.4 kgm at 4,000 rpm",5.0,207601.74284614623
Maruti Swift Dzire VDI,2019,700000,30000,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.02,190Nm@ 2000rpm,5.0,660201.5634168684
Maruti Ertiga ZDI,2014,560000,90000,Diesel,Individual,Manual,First Owner,20.77,1248.0,88.8,200Nm@ 1750rpm,7.0,545402.4697876275
Maruti Swift Dzire VXi,2012,300000,88000,Petrol,Individual,Manual,First Owner,17.5,1298.0,85.8,114Nm@ 4000rpm,5.0,374321.50137443095
Renault KWID 1.0 RXL,2018,275000,20000,Petrol,Individual,Manual,First Owner,23.01,999.0,67.0,91Nm@ 4250rpm,5.0,456318.2374057621
Maruti Ritz VXi,2012,320000,40000,Petrol,Individual,Manual,First Owner,18.5,1197.0,85.8,114Nm@ 4000rpm,5.0,402772.5810944736
Tata Sumo EX BS IV,2012,254999,190000,Diesel,Individual,Manual,Third Owner,19.33,1248.0,83.1,,5.0,312606.3202692643
Hyundai i20 Sportz 1.2,2012,300000,120000,Petrol,Individual,Manual,First Owner,18.5,1197.0,82.85,113.7Nm@ 4000rpm,5.0,327934.86691821367
Tata Indica Vista TDI LS,2011,110000,120000,Diesel,Individual,Manual,First Owner,19.4,1405.0,70.0,135.4Nm@ 2500rpm,5.0,272502.5351469591
Toyota Etios VX,2017,625000,25538,Petrol,Trustmark Dealer,Manual,First Owner,16.78,1496.0,88.73,132Nm@ 3000rpm,5.0,581083.1707606167
BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,16.78,1995.0,190.0,400Nm@ 1750-2500rpm,5.0,2081949.143460691
Datsun RediGO S,2017,235000,25000,Petrol,Individual,Manual,First Owner,22.7,799.0,53.64,72Nm@ 4386rpm,5.0,289810.1727867946
Hyundai i20 Sportz 1.2,2013,375000,70000,Petrol,Individual,Manual,First Owner,18.5,1197.0,82.85,113.7Nm@ 4000rpm,5.0,390476.8028726056
Hyundai i20 Active 1.4 SX with AVN,2015,625000,90000,Diesel,Individual,Manual,First Owner,21.19,1396.0,88.73,219.66nm@ 1500-2750rpm,5.0,589797.7357405424
Hyundai Creta 1.4 E Plus,2018,946000,60000,Diesel,Individual,Manual,First Owner,22.1,1396.0,88.7,219.7Nm@ 1500-2750rpm,5.0,708704.1349530369
Maruti Swift 1.3 ZXI,2008,200000,90000,Petrol,Individual,Manual,First Owner,19.33,1248.0,83.1,,5.0,230673.81335813552
Ford Ecosport 1.5 Diesel Trend,2014,570000,48000,Diesel,Individual,Manual,First Owner,21.7,1498.0,98.96,215Nm@ 1750-2500rpm,5.0,682876.5161591917
Maruti Ertiga VXI,2015,600000,40000,Petrol,Individual,Manual,Second Owner,16.02,1373.0,93.7,130Nm@ 4000rpm,7.0,504391.4748186022
Maruti Baleno Delta 1.2,2018,560000,20000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,115Nm@ 4000rpm,5.0,599753.277466923
Hyundai i10 Sportz,2014,348000,23000,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,111.8Nm@ 4000rpm,5.0,369374.3129791692
Hyundai Santro LE,2002,35000,184000,Petrol,Individual,Manual,Second Owner,19.33,1248.0,83.1,,5.0,-76581.13263902813
Hyundai i20 Asta 1.4 CRDi,2014,620000,110000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,219.7Nm@ 1500-2750rpm,5.0,554074.7263871059
Hyundai i20 1.2 Asta,2019,721000,9400,Petrol,Dealer,Manual,First Owner,18.6,1197.0,81.83,114.7Nm@ 4000rpm,5.0,720765.9514758512
Mahindra Bolero 2011-2019 Camper,2006,170000,120000,Diesel,Individual,Manual,Second Owner,14.0,2523.0,83.0,176Nm@ 1500rpm,7.0,215014.96633758396
Volvo V40 D3 R-Design,2018,2475000,2000,Diesel,Dealer,Automatic,First Owner,16.8,1984.0,150.0,350Nm@ 1500-2750rpm,5.0,1707688.5357590318
Maruti Alto 800 LXI Airbag,2013,190000,60000,Petrol,Individual,Manual,Second Owner,22.74,796.0,47.3,69Nm@ 3500rpm,5.0,27634.98726287484
Honda Jazz VX,2016,550000,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2,1199.0,88.7,110Nm@ 4800rpm,5.0,517234.56574254483
Hyundai Xcent 1.1 CRDi S,2016,350000,120000,Diesel,Individual,Manual,Second Owner,24.4,1120.0,71.0,180.4Nm@ 1750-2500rpm,5.0,390511.4908607304
Tata Safari Storme EX,2015,503000,110000,Diesel,Individual,Manual,First Owner,14.1,2179.0,147.94,320Nm@ 1500-3000rpm,7.0,1101741.7059948295
Mahindra Bolero 2011-2019 SLX,2015,585000,50000,Diesel,Individual,Manual,First Owner,15.96,2523.0,62.1,195Nm@ 1400-2200rpm,7.0,434150.89280615
Maruti Alto 800 VXI BSIV,2015,265000,48000,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,69Nm@ 3500rpm,5.0,280576.36514765024
Honda City i VTEC VX,2017,890000,18300,Petrol,Individual,Manual,First Owner,17.8,1497.0,117.3,145Nm@ 4600rpm,5.0,863954.3985530138
Maruti Swift Dzire AMT VXI,2017,635000,120000,Petrol,Individual,Automatic,First Owner,21.21,1197.0,81.8,113Nm@ 4200rpm,5.0,806978.8215888664
Hyundai Creta 1.6 CRDi SX,2016,900000,110000,Diesel,Individual,Manual,First Owner,19.67,1582.0,126.2,259.9Nm@ 1900-2750rpm,5.0,936731.977194801
Hyundai i20 1.2 Asta,2017,620000,25000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,114.7Nm@ 4000rpm,5.0,536796.1275764406
Ford Ecosport 1.5 Diesel Titanium,2014,550000,105000,Diesel,Dealer,Manual,First Owner,21.7,1498.0,98.96,215Nm@ 1750-2500rpm,5.0,758672.4241329432
Chevrolet Beat Diesel LT,2012,155000,98000,Diesel,Individual,Manual,First Owner,25.44,936.0,57.6,150Nm@ 1750rpm,5.0,213869.29443855584
Nissan Sunny XL D,2018,670000,35000,Diesel,Individual,Manual,First Owner,22.71,1461.0,84.8,200Nm@ 2000rpm,5.0,698932.1167097464
Toyota Fortuner 2.8 4WD AT BSIV,2018,3200000,60000,Diesel,Individual,Automatic,First Owner,15.04,2755.0,174.5,450Nm@ 1600-2400rpm,7.0,1817493.363711007
Maruti Alto LXi,2007,100000,70000,Petrol,Individual,Manual,First Owner,19.7,796.0,46.3,62Nm@ 3000rpm,5.0,-136838.69081683457
Maruti Vitara Brezza ZDi,2016,750000,80000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,200Nm@ 1750rpm,5.0,634067.3767231181
Ford Figo Diesel EXI Option,2012,195000,163720,Diesel,Dealer,Manual,First Owner,18.5,1399.0,68.0,160Nm@ 2000rpm,5.0,364942.45387841016
Tata Tigor 1.2 Revotron XZ Option,2017,600000,40000,Petrol,Individual,Manual,Second Owner,20.3,1199.0,84.0,114Nm@ 3500rpm,5.0,497736.968648009
Ford Figo 1.5D Trend MT,2017,500000,62960,Diesel,Dealer,Manual,First Owner,25.83,1498.0,99.0,215Nm@ 1750-3000rpm,5.0,905421.0727635771
Hyundai Grand i10 Magna AT,2019,625000,4337,Petrol,Dealer,Automatic,First Owner,18.9,1197.0,82.0,114Nm@ 4000rpm,5.0,1040219.4633803219
Hyundai Grand i10 CRDi Sportz,2015,450000,53000,Diesel,Individual,Manual,First Owner,24.0,1120.0,70.0,160Nm@ 1500-2750rpm,5.0,448219.92134135216
Mahindra Scorpio S10 7 Seater,2015,1050000,80000,Diesel,Individual,Manual,Second Owner,15.4,2179.0,120.0,280Nm@ 1800-2800rpm,7.0,827927.2318893075
Toyota Fortuner 2.5 4x2 MT TRD Sportivo,2015,2000000,120000,Diesel,Individual,Manual,First Owner,13.0,2494.0,142.0,343Nm@ 1600-2800rpm,7.0,1060368.1061158776
Tata Indigo CS LS (TDI) BS-III,2014,221000,65000,Diesel,Dealer,Manual,First Owner,19.09,1405.0,69.01,135Nm@ 2500rpm,5.0,502019.48039525
Hyundai EON Era Plus,2013,180000,60000,Petrol,Individual,Manual,First Owner,21.1,814.0,55.2,74.5Nm@ 4000rpm,5.0,146184.43810120225
Tata Indica Vista Quadrajet 90 VX,2013,325000,100000,Diesel,Individual,Manual,First Owner,22.3,1248.0,88.8,200Nm@ 1750-3000rpm,5.0,516958.22738362104
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,2018,950000,75000,Diesel,Individual,Automatic,First Owner,21.5,1498.0,108.5,250Nm@ 1500-3000rpm,5.0,1187089.5948126763
Toyota Camry 2.5 Hybrid,2016,2000000,68089,Petrol,Trustmark Dealer,Automatic,First Owner,19.16,2494.0,157.7,213Nm@ 4500rpm,5.0,1518537.0564880818
Maruti Alto LX,2004,60000,113000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,62Nm@ 3000rpm,5.0,-317565.845094271
Maruti Swift LXI Option,2014,400000,50000,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,113Nm@ 4200rpm,5.0,437127.80916378647
Maruti Swift Dzire VDI,2017,699000,60000,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.02,190Nm@ 2000rpm,5.0,578318.308983244
Maruti Ertiga VXI,2014,425000,80000,Petrol,Individual,Manual,Third Owner,16.02,1373.0,93.7,130Nm@ 4000rpm,7.0,457508.0352016762
Maruti SX4 Vxi BSIII,2009,250000,125876,Petrol,Individual,Manual,Second Owner,15.0,1586.0,104.68,"145@ 4,100(kgm@ rpm)",5.0,365240.97921133786
Maruti Baleno Zeta Automatic,2019,675000,5000,Petrol,Individual,Automatic,First Owner,21.4,1197.0,83.1,115Nm@ 4000rpm,5.0,953710.8527006283
Tata Indica Vista TDI LS,2015,240000,110000,Diesel,Individual,Manual,Second Owner,19.1,1405.0,70.0,135.4Nm@ 2500rpm,5.0,344429.4671745002
Toyota Etios Liva GD,2013,451000,120000,Diesel,Individual,Manual,First Owner,23.59,1364.0,67.06,170Nm@ 1800-2400rpm,5.0,333293.36391269416
Maruti Swift Dzire ZDI,2017,750000,110000,Diesel,Individual,Manual,Second Owner,28.4,1248.0,74.02,190Nm@ 2000rpm,5.0,488324.1490889713
Tata Sumo Gold EX BSIII,2017,400000,140000,Diesel,Individual,Manual,First Owner,14.07,2956.0,69.01,223Nm@ 1600-2200rpm,7.0,521396.8786751628
Maruti Zen LXI,2005,60000,90000,Petrol,Individual,Manual,Second Owner,17.3,993.0,60.0,78Nm@ 4500rpm,5.0,-153901.83307945728
Maruti Esteem Lxi - BSIII,2007,55000,70000,Petrol,Individual,Manual,Third Owner,15.9,1298.0,85.0,110Nm@ 4500rpm,5.0,160610.73124937713
Maruti 800 Std,1995,55000,70000,Petrol,Individual,Manual,First Owner,16.1,796.0,37.0,59Nm@ 2500rpm,4.0,-619477.2384292185
Hyundai Creta 1.6 CRDi AT SX Plus,2017,1000000,60000,Diesel,Individual,Automatic,Second Owner,17.01,1582.0,126.2,259.9Nm@ 1900-2750rpm,5.0,1236790.5882664472
Mahindra Bolero LX,2006,210000,120000,Diesel,Individual,Manual,First Owner,19.33,1248.0,83.1,,5.0,215350.42191118002
Maruti Swift Dzire VDI,2013,409999,100000,Diesel,Individual,Manual,Second Owner,23.4,1248.0,74.0,190Nm@ 2000rpm,5.0,336828.66060685366
Mahindra Bolero Power Plus SLX,2017,620000,100000,Diesel,Individual,Manual,Second Owner,16.5,1493.0,70.0,195Nm@ 1400-2200rpm,7.0,404357.0247881487
Hyundai Xcent 1.2 CRDi SX Option,2017,620000,31000,Diesel,Individual,Manual,First Owner,25.4,1186.0,73.97,190.25nm@ 1750-2250rpm,5.0,572834.2486891001
Honda City i VTEC CVT VX,2017,1100000,26000,Petrol,Individual,Automatic,First Owner,18.0,1497.0,117.3,145Nm@ 4600rpm,5.0,1173448.5566112548
Maruti Eeco Smiles 5 Seater AC,2013,275000,80000,Petrol,Individual,Manual,Second Owner,15.1,1196.0,73.0,101Nm@ 3000rpm,5.0,219152.3341975659
Hyundai i20 1.2 Sportz,2011,290000,90000,Petrol,Individual,Manual,Third Owner,17.0,1197.0,80.0,"11.4 kgm at 4,000 rpm",5.0,231286.0441441685
Hyundai i20 1.2 Spotz,2018,655000,20000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,114.7Nm@ 4000rpm,5.0,571566.2380110845
Datsun RediGO T Option,2018,250000,10000,Petrol,Individual,Manual,First Owner,22.7,799.0,53.64,72Nm@ 4386rpm,5.0,330751.80000361055
Maruti Alto 800 LXI,2012,180000,80000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,69Nm@ 3500rpm,5.0,42744.17763841897
Chevrolet Captiva LT,2008,300000,100000,Diesel,Individual,Manual,Second Owner,11.5,1991.0,147.9,320Nm@ 2000rpm,7.0,797015.2428372204
Tata Indigo eCS LE TDI BSIII,2010,135000,148000,Diesel,Individual,Manual,Second Owner,19.09,1396.0,69.0,135Nm@ 2500rpm,5.0,153209.43212691694
Hyundai Santro Xing GL,2009,120000,90000,Petrol,Individual,Manual,Second Owner,0.0,1086.0,62.0,96.1Nm@ 3000rpm,5.0,-109575.16454946995
Maruti Swift VXI Deca,2016,482000,50000,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,113Nm@ 4200rpm,5.0,500496.51325090975
Tata Indica Vista TDI LS,2013,150000,90000,Diesel,Individual,Manual,Second Owner,19.4,1405.0,70.0,135.4Nm@ 2500rpm,5.0,295249.2135971412
Mahindra Scorpio 2009-2014 VLX 2WD 7S BSIV,2012,470000,215000,Diesel,Individual,Manual,First Owner,12.05,2179.0,120.0,290Nm@ 1800-2800rpm,7.0,688088.1192921177
Maruti Celerio X VXI Option BSIV,2017,395000,25000,Petrol,Individual,Manual,First Owner,21.63,998.0,67.0,90Nm@ 3500rpm,5.0,412986.69822357595
Maruti Ertiga VDI,2012,459999,87000,Diesel,Individual,Manual,First Owner,20.77,1248.0,88.76,200Nm@ 1750rpm,7.0,483539.9247362539
Mahindra Verito 1.5 D2 BSIV,2012,140000,120000,Diesel,Individual,Manual,Second Owner,21.03,1461.0,65.0,160Nm@ 2000rpm,5.0,215975.6814662367
Maruti Ertiga SHVS ZDI Plus,2017,800000,70000,Diesel,Individual,Manual,First Owner,24.52,1248.0,88.5,200Nm@ 1750rpm,7.0,673276.5513088331
Maruti Swift Dzire ZDi,2011,265000,90000,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248.0,73.9,190Nm@ 2000rpm,5.0,264863.04856903106
Mahindra Bolero Power Plus ZLX,2017,660000,60000,Diesel,Individual,Manual,Second Owner,16.5,1493.0,70.0,195Nm@ 1400-2200rpm,7.0,429043.09191681445
Maruti Alto LX,2011,175000,175000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,62Nm@ 3000rpm,5.0,-134038.7848387584
Tata Indica Vista Quadrajet ZX,2012,250000,40000,Diesel,Individual,Manual,First Owner,22.3,1248.0,74.0,190Nm@ 1750-3000rpm,5.0,394543.4564397931
Maruti Swift AMT VVT VXI,2019,650000,5621,Petrol,Trustmark Dealer,Automatic,First Owner,22.0,1197.0,81.8,113Nm@ 4200rpm,5.0,920366.6271174401
Maruti Swift VXI,2019,550000,40000,Petrol,Individual,Manual,First Owner,21.21,1197.0,81.8,113Nm@ 4200rpm,5.0,606703.7119164392
Maruti Swift Dzire VXi,2012,350000,30000,Petrol,Individual,Manual,First Owner,17.5,1298.0,85.8,114Nm@ 4000rpm,5.0,410116.2987109944
Maruti Swift VDI BSIV,2011,340000,160000,Diesel,Individual,Manual,Second Owner,19.33,1248.0,83.1,,5.0,289949.539016895
Maruti Swift VDI,2018,755000,39000,Diesel,Dealer,Manual,First Owner,28.4,1248.0,74.0,190Nm@ 2000rpm,5.0,733763.7519019991
Datsun GO T BSIV,2017,329000,80000,Petrol,Individual,Manual,Second Owner,20.63,1198.0,67.0,104Nm@ 4000rpm,5.0,328257.549827978
Volvo XC40 D4 Inscription BSIV,2019,3800000,20000,Diesel,Individual,Automatic,First Owner,18.0,1969.0,190.0,400Nm,5.0,1968880.6086669713
Hyundai Santro Xing XG,2005,110000,53563,Petrol,Dealer,Manual,Second Owner,19.33,1248.0,83.1,,5.0,209944.89057529718
Maruti Alto 800 LXI,2013,200000,50000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,69Nm@ 3500rpm,5.0,92943.08002847433
Tata Nexon 1.2 Revotron XM,2018,575000,70000,Petrol,Individual,Manual,First Owner,17.0,1198.0,108.5,170Nm@ 1750-4000rpm,5.0,761165.0484568626
Ford Freestyle Titanium Plus Petrol BSIV,2019,700000,6000,Petrol,Individual,Manual,First Owner,19.0,1194.0,94.68,120Nm@ 4250rpm,5.0,725060.0767281726
Maruti Alto LXI,2004,118000,60000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,62Nm@ 3000rpm,5.0,-284856.8061487898
Mahindra XUV500 W4,2014,850000,120000,Diesel,Individual,Manual,First Owner,15.1,2179.0,140.0,330Nm@ 1600-2800rpm,7.0,1001495.9712054357
Toyota Fortuner 3.0 Diesel,2011,1150000,181000,Diesel,Individual,Manual,Second Owner,11.5,2982.0,171.0,343Nm@ 1400-3400rpm,7.0,1113345.6537500247
Maruti Swift Vdi BSIII,2009,307000,100000,Diesel,Individual,Manual,Second Owner,17.8,1248.0,75.0,190Nm@ 2000rpm,5.0,184275.8694236502
Hyundai EON Era Plus,2014,220000,50000,Petrol,Individual,Manual,Third Owner,21.1,814.0,55.2,74.5Nm@ 4000rpm,5.0,134390.7104987949
Ford Ecosport 1.5 DV5 MT Titanium,2017,850000,63982,Diesel,Dealer,Manual,First Owner,22.7,1498.0,89.84,204Nm@ 2000-2750rpm,5.0,806463.7098694742
Maruti Swift Dzire ZDi,2011,350000,120000,Diesel,Individual,Manual,Second Owner,19.3,1248.0,73.9,190Nm@ 2000rpm,5.0,235032.98470385373
Hyundai Accent Executive CNG,2012,275000,48000,CNG,Individual,Manual,First Owner,19.33,1495.0,93.7,124.5Nm@ 3500rpm,5.0,553205.4713128358
Hyundai Creta 1.6 CRDi Anniversary Edition,2016,819999,39000,Diesel,Dealer,Manual,First Owner,19.67,1582.0,126.2,259.9Nm@ 1900-2750rpm,5.0,1091523.2999802753
Maruti Swift Dzire LDi,2011,240000,90000,Diesel,Individual,Manual,Second Owner,19.3,1248.0,73.9,190Nm@ 2000rpm,5.0,253547.5350503549
Hyundai Accent GLX,2003,110000,90000,Petrol,Individual,Manual,Second Owner,13.2,1495.0,94.0,"12.5@ 3,500(kgm@ rpm)",5.0,87410.7845114842
Toyota Innova 2.5 E Diesel PS 7-Seater,2007,270000,147500,Diesel,Individual,Manual,Second Owner,12.8,2494.0,102.0,20.4@ 1400-3400(kgm@ rpm),7.0,384258.76576865464
